Ano;Mês;UF;  IRPF  
2001;Janeiro;MA;661.774
2001;Janeiro;MT;1.099.905
2001;Janeiro;MS;1.121.060
2001;Janeiro;MG;10.113.445
2001;Janeiro;PA;1.110.512
2001;Janeiro;PB;852.101
2001;Janeiro;PR;6.987.745
2001;Janeiro;PE;2.386.522
2001;Janeiro;PI;512.818
2001;Janeiro;RJ; 35,322,043 
2001;Janeiro;RN;642
2001;Janeiro;RS; 9,186,808 
2001;Janeiro;RO;355
2001;Janeiro;RR;158
2001;Janeiro;SC; 4,532,829 
2001;Janeiro;SP; 83,430,427 
2001;Janeiro;SE;703
2001;Janeiro;TO;119
2001;Fevereiro;AC;114.716
2001;Fevereiro;AL;604.526
2001;Fevereiro;AP;124.781
2001;Fevereiro;AM;746.445
2001;Fevereiro;BA;2.126.958
2001;Fevereiro;CE;1.646.436
2001;Fevereiro;DF;2.891.035
2001;Fevereiro;ES;1.218.739
2001;Fevereiro;GO;1.148.775
2001;Fevereiro;MA;409.766
2001;Fevereiro;MT;671.342
2001;Fevereiro;MS;977.888
2001;Fevereiro;MG;7.528.143
2001;Fevereiro;PA;1.064.506
2001;Fevereiro;PB;692.789
2001;Fevereiro;PR;6.120.993
2001;Fevereiro;PE;1.777.188
2001;Fevereiro;PI;327.669
2001;Fevereiro;RJ; 32,925,004 
2001;Fevereiro;RN;550
2001;Fevereiro;RS; 8,088,853 
2001;Fevereiro;RO;292
2001;Fevereiro;RR;110
2001;Fevereiro;SC; 5,221,072 
2001;Fevereiro;SP; 64,341,202 
2001;Fevereiro;SE;523
2001;Fevereiro;TO;104
2001;Março;AC;153.558
2001;Março;AL;667.918
2001;Março;AP;154.762
2001;Março;AM;890.258
2001;Março;BA;2.367.350
2001;Março;CE;2.207.784
2001;Março;DF;7.394.996
2001;Março;ES;1.437.464
2001;Março;GO;1.344.742
2001;Março;MA;557.081
2001;Março;MT;826.551
2001;Março;MS;1.241.768
2001;Março;MG;9.007.455
2001;Março;PA;1.142.301
2001;Março;PB;745.215
2001;Março;PR;6.899.403
2001;Março;PE;2.461.279
2001;Março;PI;509.612
2001;Março;RJ; 36,423,191 
2001;Março;RN;619
2001;Março;RS; 9,301,682 
2001;Março;RO;364
2001;Março;RR;148
2001;Março;SC; 2,804,000 
2001;Março;SP; 85,035,869 
2001;Março;SE;598
2001;Março;TO;151
2001;Abril;AC;939.538
2001;Abril;AL;4.880.651
2001;Abril;AP;921.210
2001;Abril;AM;5.799.895
2001;Abril;BA;18.754.295
2001;Abril;CE;18.904.732
2001;Abril;DF;30.391.270
2001;Abril;ES;13.180.816
2001;Abril;GO;15.329.397
2001;Abril;MA;3.856.212
2001;Abril;MT;5.813.981
2001;Abril;MS;9.508.013
2001;Abril;MG;80.613.082
2001;Abril;PA;7.229.800
2001;Abril;PB;6.448.238
2001;Abril;PR;59.006.943
2001;Abril;PE;21.449.493
2001;Abril;PI;4.478.150
2001;Abril;RJ; 180,609,085 
2001;Abril;RN; 6,456,614 
2001;Abril;RS; 79,480,369 
2001;Abril;RO; 2,639,906 
2001;Abril;RR;954
2001;Abril;SC; 25,203,471 
2001;Abril;SP; 395,307,740 
2001;Abril;SE; 5,785,209 
2001;Abril;TO; 1,031,275 
2001;Maio;AC;615.937
2001;Maio;AL;2.645.374
2001;Maio;AP;487.078
2001;Maio;AM;3.091.910
2001;Maio;BA;9.824.391
2001;Maio;CE;10.653.542
2001;Maio;DF;13.183.297
2001;Maio;ES;5.986.556
2001;Maio;GO;7.343.822
2001;Maio;MA;2.458.821
2001;Maio;MT;3.158.312
2001;Maio;MS;5.040.873
2001;Maio;MG;31.873.638
2001;Maio;PA;4.576.899
2001;Maio;PB;3.163.221
2001;Maio;PR;25.089.176
2001;Maio;PE;9.525.495
2001;Maio;PI;2.245.555
2001;Maio;RJ; 91,286,561 
2001;Maio;RN; 3,071,185 
2001;Maio;RS; 35,320,635 
2001;Maio;RO; 1,493,189 
2001;Maio;RR;542
2001;Maio;SC; 11,504,396 
2001;Maio;SP; 183,533,877 
2001;Maio;SE; 3,114,634 
2001;Maio;TO;624
2001;Junho;AC;539.394
2001;Junho;AL;2.006.829
2001;Junho;AP;469.320
2001;Junho;AM;2.785.354
2001;Junho;BA;7.678.548
2001;Junho;CE;7.170.835
2001;Junho;DF;10.800.728
2001;Junho;ES;4.683.506
2001;Junho;GO;5.938.934
2001;Junho;MA;1.605.935
2001;Junho;MT;2.816.751
2001;Junho;MS;4.389.797
2001;Junho;MG;27.006.999
2001;Junho;PA;3.817.236
2001;Junho;PB;2.574.772
2001;Junho;PR;20.425.618
2001;Junho;PE;8.577.662
2001;Junho;PI;1.892.359
2001;Junho;RJ; 69,492,482 
2001;Junho;RN; 2,399,699 
2001;Junho;RS; 30,468,431 
2001;Junho;RO; 1,289,985 
2001;Junho;RR;404
2001;Junho;SC; 9,195,357 
2001;Junho;SP; 159,057,735 
2001;Junho;SE; 2,445,635 
2001;Junho;TO;564
2001;Julho;AC;546.938
2001;Julho;AL;2.037.214
2001;Julho;AP;507.252
2001;Julho;AM;2.857.626
2001;Julho;BA;7.781.127
2001;Julho;CE;6.545.555
2001;Julho;DF;10.870.343
2001;Julho;ES;4.814.607
2001;Julho;GO;5.478.934
2001;Julho;MA;2.057.641
2001;Julho;MT;2.690.503
2001;Julho;MS;4.171.036
2001;Julho;MG;26.477.791
2001;Julho;PA;3.579.232
2001;Julho;PB;2.673.353
2001;Julho;PR;21.993.419
2001;Julho;PE;8.134.293
2001;Julho;PI;1.892.726
2001;Julho;RJ; 70,344,805 
2001;Julho;RN; 2,484,481 
2001;Julho;RS; 28,342,691 
2001;Julho;RO; 1,226,014 
2001;Julho;RR;603
2001;Julho;SC; 9,149,993 
2001;Julho;SP; 143,230,760 
2001;Julho;SE; 2,588,547 
2001;Julho;TO;565
2001;Agosto;AC;526.773
2001;Agosto;AL;2.038.604
2001;Agosto;AP;453.438
2001;Agosto;AM;2.773.129
2001;Agosto;BA;7.314.162
2001;Agosto;CE;6.360.635
2001;Agosto;DF;9.587.489
2001;Agosto;ES;4.901.399
2001;Agosto;GO;5.854.489
2001;Agosto;MA;1.659.258
2001;Agosto;MT;2.514.512
2001;Agosto;MS;3.987.396
2001;Agosto;MG;26.042.560
2001;Agosto;PA;3.410.914
2001;Agosto;PB;2.465.185
2001;Agosto;PR;19.747.269
2001;Agosto;PE;7.673.272
2001;Agosto;PI;1.769.047
2001;Agosto;RJ; 94,528,344 
2001;Agosto;RN; 2,092,077 
2001;Agosto;RS; 28,031,923 
2001;Agosto;RO; 1,453,027 
2001;Agosto;RR;454
2001;Agosto;SC; 8,443,564 
2001;Agosto;SP; 148,314,073 
2001;Agosto;SE; 2,095,100 
2001;Agosto;TO;501
2001;Setembro;AC;466.775
2001;Setembro;AL;1.821.057
2001;Setembro;AP;574.775
2001;Setembro;AM;2.455.485
2001;Setembro;BA;6.842.987
2001;Setembro;CE;5.693.316
2001;Setembro;DF;8.684.406
2001;Setembro;ES;4.129.101
2001;Setembro;GO;5.931.968
2001;Setembro;MA;1.544.843
2001;Setembro;MT;2.802.996
2001;Setembro;MS;3.762.341
2001;Setembro;MG;23.303.928
2001;Setembro;PA;3.353.699
2001;Setembro;PB;2.126.420
2001;Setembro;PR;18.141.092
2001;Setembro;PE;7.056.251
2001;Setembro;PI;1.653.082
2001;Setembro;RJ; 63,967,548 
2001;Setembro;RN; 2,027,209 
2001;Setembro;RS; 26,593,984 
2001;Setembro;RO; 1,160,558 
2001;Setembro;RR;390
2001;Setembro;SC; 7,444,509 
2001;Setembro;SP; 144,517,314 
2001;Setembro;SE; 2,144,657 
2001;Setembro;TO;468
2001;Outubro;AC;187.570
2001;Outubro;AL;915.178
2001;Outubro;AP;262.855
2001;Outubro;AM;1.179.539
2001;Outubro;BA;3.435.337
2001;Outubro;CE;2.622.366
2001;Outubro;DF;4.721.661
2001;Outubro;ES;1.799.923
2001;Outubro;GO;1.950.395
2001;Outubro;MA;763.680
2001;Outubro;MT;944.052
2001;Outubro;MS;1.512.706
2001;Outubro;MG;11.566.520
2001;Outubro;PA;1.460.311
2001;Outubro;PB;1.041.845
2001;Outubro;PR;8.734.849
2001;Outubro;PE;3.509.381
2001;Outubro;PI;733.646
2001;Outubro;RJ; 40,646,495 
2001;Outubro;RN;922
2001;Outubro;RS; 11,098,705 
2001;Outubro;RO;464
2001;Outubro;RR;264
2001;Outubro;SC; 3,793,090 
2001;Outubro;SP; 80,187,155 
2001;Outubro;SE;804
2001;Outubro;TO;226
2001;Novembro;AC;163.852
2001;Novembro;AL;639.767
2001;Novembro;AP;154.732
2001;Novembro;AM;1.296.192
2001;Novembro;BA;3.594.955
2001;Novembro;CE;2.362.536
2001;Novembro;DF;3.744.179
2001;Novembro;ES;2.002.913
2001;Novembro;GO;1.755.768
2001;Novembro;MA;821.491
2001;Novembro;MT;892.416
2001;Novembro;MS;1.652.603
2001;Novembro;MG;10.852.794
2001;Novembro;PA;1.584.576
2001;Novembro;PB;945.819
2001;Novembro;PR;8.798.929
2001;Novembro;PE;3.143.261
2001;Novembro;PI;639.492
2001;Novembro;RJ; 63,745,841 
2001;Novembro;RN;655
2001;Novembro;RS; 11,733,641 
2001;Novembro;RO;452
2001;Novembro;RR;183
2001;Novembro;SC; 6,395,076 
2001;Novembro;SP; 78,098,227 
2001;Novembro;SE;904
2001;Novembro;TO;257
2001;Dezembro;AC;188.372
2001;Dezembro;AL;731.331
2001;Dezembro;AP;190.211
2001;Dezembro;AM;1.064.189
2001;Dezembro;BA;3.541.950
2001;Dezembro;CE;2.564.878
2001;Dezembro;DF;4.307.179
2001;Dezembro;ES;2.061.323
2001;Dezembro;GO;1.630.020
2001;Dezembro;MA;589.283
2001;Dezembro;MT;734.216
2001;Dezembro;MS;1.373.163
2001;Dezembro;MG;13.079.782
2001;Dezembro;PA;1.291.693
2001;Dezembro;PB;974.265
2001;Dezembro;PR;8.529.622
2001;Dezembro;PE;3.011.900
2001;Dezembro;PI;562.553
2001;Dezembro;RJ; 40,412,134 
2001;Dezembro;RN;915
2001;Dezembro;RS; 11,683,373 
2001;Dezembro;RO;389
2001;Dezembro;RR;190
2001;Dezembro;SC; 3,342,783 
2001;Dezembro;SP; 84,010,417 
2001;Dezembro;SE;607
2001;Dezembro;TO;214
2002;Janeiro;AC;313
2002;Janeiro;AL;589
2002;Janeiro;AP;192
2002;Janeiro;AM; 1,346,412 
2002;Janeiro;BA; 2,919,666 
2002;Janeiro;CE; 2,390,742 
2002;Janeiro;DF; 4,744,655 
2002;Janeiro;ES; 1,510,379 
2002;Janeiro;GO;  1,740,111  
2002;Janeiro;MA;566
2002;Janeiro;MT;665
2002;Janeiro;MS; 1,132,285 
2002;Janeiro;MG; 10,520,723 
2002;Janeiro;PA; 1,082,787 
2002;Janeiro;PB;770
2002;Janeiro;PR; 9,382,829 
2002;Janeiro;PE; 3,732,481 
2002;Janeiro;PI;493
2002;Janeiro;RJ; 46,133,711 
2002;Janeiro;RN;670
2002;Janeiro;RS; 12,499,860 
2002;Janeiro;RO;328
2002;Janeiro;RR;153
2002;Janeiro;SC; 4,174,908 
2002;Janeiro;SP; 95,160,357 
2002;Janeiro;SE;654
2002;Janeiro;TO;152
2002;Fevereiro;AC;120
2002;Fevereiro;AL;560
2002;Fevereiro;AP;156
2002;Fevereiro;AM;860
2002;Fevereiro;BA; 2,803,896 
2002;Fevereiro;CE; 1,972,953 
2002;Fevereiro;DF; 4,639,094 
2002;Fevereiro;ES; 1,219,307 
2002;Fevereiro;GO;  1,747,835  
2002;Fevereiro;MA;585
2002;Fevereiro;MT;832
2002;Fevereiro;MS; 1,267,999 
2002;Fevereiro;MG; 8,684,928 
2002;Fevereiro;PA; 1,131,194 
2002;Fevereiro;PB;676
2002;Fevereiro;PR; 7,999,088 
2002;Fevereiro;PE; 2,710,938 
2002;Fevereiro;PI;474
2002;Fevereiro;RJ; 46,406,237 
2002;Fevereiro;RN; 1,325,007 
2002;Fevereiro;RS; 9,778,034 
2002;Fevereiro;RO;354
2002;Fevereiro;RR;189
2002;Fevereiro;SC; 5,114,356 
2002;Fevereiro;SP; 106,673,497 
2002;Fevereiro;SE; 32,311,918 
2002;Fevereiro;TO;174
2002;Março;AC;123
2002;Março;AL;704
2002;Março;AP;166
2002;Março;AM;956
2002;Março;BA; 2,623,023 
2002;Março;CE; 2,257,841 
2002;Março;DF; 3,898,262 
2002;Março;ES; 1,273,513 
2002;Março;GO;  1,743,370  
2002;Março;MA;515
2002;Março;MT;702
2002;Março;MS; 1,103,549 
2002;Março;MG; 10,087,546 
2002;Março;PA; 1,385,849 
2002;Março;PB;824
2002;Março;PR; 7,963,382 
2002;Março;PE; 2,588,270 
2002;Março;PI;480
2002;Março;RJ; 36,768,556 
2002;Março;RN;689
2002;Março;RS; 8,281,774 
2002;Março;RO;639
2002;Março;RR;156
2002;Março;SC; 3,010,606 
2002;Março;SP; 66,037,961 
2002;Março;SE;598
2002;Março;TO;179
2002;Abril;AC; 1,067,618 
2002;Abril;AL; 5,382,798 
2002;Abril;AP;933
2002;Abril;AM; 7,106,554 
2002;Abril;BA; 20,901,744 
2002;Abril;CE; 18,281,448 
2002;Abril;DF; 29,227,251 
2002;Abril;ES; 13,985,473 
2002;Abril;GO;  17,462,195  
2002;Abril;MA; 4,536,292 
2002;Abril;MT; 7,356,197 
2002;Abril;MS; 11,060,609 
2002;Abril;MG; 84,499,788 
2002;Abril;PA; 7,565,868 
2002;Abril;PB; 7,524,964 
2002;Abril;PR; 66,775,935 
2002;Abril;PE; 22,422,759 
2002;Abril;PI; 4,654,846 
2002;Abril;RJ; 191,781,371 
2002;Abril;RN; 7,645,983 
2002;Abril;RS; 83,699,522 
2002;Abril;RO; 2,873,156 
2002;Abril;RR; 1,170,442 
2002;Abril;SC; 29,764,192 
2002;Abril;SP; 433,878,719 
2002;Abril;SE; 6,361,296 
